7,3,,,,,
ID,NAME,MW,PC (KPA),TC (K),Acentric,STD IDEAL LIQUID DENSITY (KG/M3)
1,1BUTENE,56.10632,4005.1,419.29,0.192,
2,ACETONE,58.07914,4700,508.1,0.3071,
3,AIR,28.958538,3786,132.5306,0.0335,
4,AMMONIA,17.031,11333,405.4,0.256,
5,ARGON,39.948,4863,150.687,-0.00219,
6,BENZENE,78.108,4906.3,562.02,0.2092,882.1900024
7,BUTANE,58.124,3796,425.125,0.1984,
8,C12,170.33484,1817,658.1,0.574,
9,C1CC6,98.18606,3470,572.2,0.23,
10,C2BUTENE,56.10632,4225.5,435.75,0.202,
11,C3CC6,126.23922,2860,630.8,0.33,
12,C4F10,238.03,2323.4,386.326,0.374,
13,C5F12,288.03,2045,420.555,0.423,
14,CF3I,195.9103796,3882,395.37,0.17894605,
15,CO,28.011,3494,132.86,0.051,
16,CO2,44.01,7377.3,304.1282,0.225,
17,COS,60.0751,6370,378.77,0.0978,
18,CYCLOHEX,84.161,4075,553.64,0.209,
19,CYCLOPEN,70.1329,4515,511.69,0.195,
20,CYCLOPRO,42.081,5579.7,398.3,0.1305,
21,D2,4.0282,1665.3,38.34,-0.175,
22,D2O,20.027508,21671,643.847,0.364,
23,D4,296.61576,1332,586.5,0.592,
24,D5,370.7697,1160,619.15,0.658,
25,D6,444.924,961,645.78,0.736,
26,DECANE,142.28168,2103,617.7,0.4884,
27,DMC,90.07794,4835.08,557.376,0.33327,
28,DME,46.06844,5370.2,400.1,0.200698,
29,ETHANE,30.07,4872.2,305.322,0.0993,355.6830139
30,ETHANOL,46.06844,6148,513.9,0.644,
31,ETHYLENE,28.054,5041.8,282.35,0.086,
32,FLUORINE,37.997,5172.4,144.414,0.0449,
33,H2S,34.08,9000,373.1,0.0956,
34,HELIUM,4.0026,227.46,5.1953,-0.382,
35,HEPTANE,100.198,2736,540.13,0.35,
36,HEXANE,86.172,3034,507.82,0.312,
38,HYDROGEN,2.01594,1315,33.19,-0.214,
39,IBUTENE,56.10632,4009.8,418.09,0.193,
40,IHEXANE,86.17536,3040,497.7,0.2797,
41,IPENTANE,72.147,3390,460.4,0.22916021,
42,ISOBUTAN,58.124,3629,407.81,0.1851,
43,KRYPTON,83.7,5525,209.48,-0.0015,
44,MD2M,310.685,1227,599.4,0.668,
45,MD3M,384.839,945,628.36,0.722,
46,MD4M,458.99328,877,653.2,0.836,
47,MDM,236.53146,1415,564.09,0.529,
48,METHANE,16.043,4599.2,190.564,0.011,299.3940125
49,METHANOL,32,8103.5,512.6,0.5654,
50,MLINOLEA,294.47206,1341,799,0.805,
51,MLINOLEN,292.45618,1369,772,1.14,
52,MM,162.37752,1939,518.75,0.418,
53,MOLEATE,296.48794,1246,782,0.91,
54,MPALMITA,270.45066,1350,755,0.91,
55,MSTEARAT,298.50382,1239,775,1.02,
56,N2O,44.0128,7245,309.52,0.1613,
57,NEON,20.179,2678.6,44.4918,-0.0387,
58,NEOPENTN,72.151,3196,433.74,0.1961,
59,NF3,71.019,4460.7,234,0.126,
60,NITROGEN,28.01348,3395.8,126.192,0.0372,
61,NONANE,128.2551,2281,594.55,0.4433,
62,OCTANE,114.224,2497,569.32,0.394,
63,ORTHOHYD,2.01594,1310.65,33.22,-0.219,
64,OXYGEN,31.9988,5043,154.581,0.0222,
65,PARAHYD,2.01594,1285.8,32.938,-0.218,
66,PENTANE,72.147,3370,469.7,0.25,
67,PROPANE,44.097,4251.2,369.89,0.153,
68,PROPYLEN,42.0804,4555,364.211,0.1408,
